match_id,date,group,stage,team_a,team_b,status,team_a_goals,team_b_goals,winner_country,result_label,total_goals,both_teams_scored,over_2_5,updated_at
MEX-RSA-2026-06-11,2026-06-11,A,group,Mexico,South Africa,complete,2,0,Mexico,team_a_win,2,false,false,2026-06-24T00:57:00+00:00
KOR-CZE-2026-06-11,2026-06-11,A,group,South Korea,Czechia,complete,2,1,South Korea,team_a_win,3,true,true,2026-06-24T00:57:00+00:00
CAN-BIH-2026-06-12,2026-06-12,B,group,Canada,Bosnia and Herzegovina,complete,1,1,Draw,draw,2,true,false,2026-06-24T00:57:00+00:00
USA-PAR-2026-06-12,2026-06-12,D,group,United States,Paraguay,complete,4,1,United States,team_a_win,5,true,true,2026-06-24T00:57:00+00:00
BRA-MAR-2026-06-13,2026-06-13,C,group,Brazil,Morocco,complete,1,1,Draw,draw,2,true,false,2026-06-24T00:57:00+00:00
HAI-SCO-2026-06-13,2026-06-13,C,group,Haiti,Scotland,complete,0,1,Scotland,team_b_win,1,false,false,2026-06-24T00:57:00+00:00
GER-CUW-2026-06-14,2026-06-14,E,group,Germany,Curaçao,complete,7,1,Germany,team_a_win,8,true,true,2026-06-24T00:57:00+00:00
NED-JPN-2026-06-14,2026-06-14,F,group,Netherlands,Japan,complete,2,2,Draw,draw,4,true,true,2026-06-24T00:57:00+00:00
CIV-ECU-2026-06-14,2026-06-14,E,group,Côte d'Ivoire,Ecuador,complete,1,0,Côte d'Ivoire,team_a_win,1,false,false,2026-06-24T00:57:00+00:00
SWE-TUN-2026-06-14,2026-06-14,F,group,Sweden,Tunisia,complete,5,1,Sweden,team_a_win,6,true,true,2026-06-24T00:57:00+00:00
ESP-CPV-2026-06-15,2026-06-15,H,group,Spain,Cabo Verde,complete,0,0,Draw,draw,0,false,false,2026-06-24T00:57:00+00:00
BEL-EGY-2026-06-15,2026-06-15,G,group,Belgium,Egypt,complete,1,1,Draw,draw,2,true,false,2026-06-24T00:57:00+00:00
KSA-URU-2026-06-15,2026-06-15,H,group,Saudi Arabia,Uruguay,complete,1,1,Draw,draw,2,true,false,2026-06-24T00:57:00+00:00
IRN-NZL-2026-06-15,2026-06-15,G,group,IR Iran,New Zealand,complete,2,2,Draw,draw,4,true,true,2026-06-24T00:57:00+00:00
FRA-SEN-2026-06-16,2026-06-16,I,group,France,Senegal,complete,3,1,France,team_a_win,4,true,true,2026-06-24T00:57:00+00:00
IRQ-NOR-2026-06-16,2026-06-16,I,group,Iraq,Norway,complete,1,4,Norway,team_b_win,5,true,true,2026-06-24T00:57:00+00:00
ARG-ALG-2026-06-16,2026-06-16,J,group,Argentina,Algeria,complete,3,0,Argentina,team_a_win,3,false,true,2026-06-24T00:57:00+00:00
POR-COD-2026-06-17,2026-06-17,K,group,Portugal,Congo DR,complete,1,1,Draw,draw,2,true,false,2026-06-24T00:57:00+00:00
ENG-CRO-2026-06-17,2026-06-17,L,group,England,Croatia,complete,4,2,England,team_a_win,6,true,true,2026-06-24T00:57:00+00:00
